January,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"169,039.75","20,071.50",193000.25,"282,239.57","12,779,716.25"
February,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"148,751.00","17,045.00",169725.00,"248,997.91","11,268,278.21"
March,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"160,773.50","20,679.25",182727.75,"268,068.71","12,128,851.82"
April,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"158,268.00","18,706.75",179194.25,"263,317.05","11,894,811.10"
May,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"195,468.00","33,442.00",231523.00,"342,275.89","15,307,177.63"
June,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"195,168.25","21,370.50",222675.75,"323,934.58","14,561,729.90"
July,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"236,760.25","36,568.25",277737.00,"405,887.48","18,167,843.40"
August,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"230,999.75","31,622.25",267606.75,"391,098.49","17,475,831.93"
September,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"190,886.75","33,699.25",228860.25,"335,429.66","14,898,974.84"
October,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"159,714.75","18,620.25",182284.75,"264,744.29","11,885,447.75"
November,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"135,734.50","15,285.00",154277.00,"224,977.02","10,132,762.12"
December,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"113,992.75","14,087.25",131851.00,"192,492.99","8,653,380.25"
