,OT REPORT - CITYWIDE BY UNIT 1/1/2017 - 12/31/2017,
January,"GRAND TOTAL: 12,604,491.47",
,,
001,District Law Enforcement,"364,346.60"
002,District Law Enforcement,"200,505.43"
003,Human Resources Division,"132,619.71"
004,District Law Enforcement,"266,572.44"
005,District Law Enforcement,"296,868.08"
006,Gang Team Area 2,"176,449.08"
007,Forensic Services Unit,"266,649.29"
008,District Law Enforcement,"314,045.02"
009,District Law Enforcement,"273,156.97"
010,District Law Enforcement,"258,493.89"
Oil,District Law Enforcement,"256,840.09"
012,District Law Enforcement,"226,285.44"
014,District Law Enforcement,"175,148.14"
015,District Law Enforcement,"231,032.44"
016,District Law Enforcement,"175,996.20"
017,District Law Enforcement,"153,853.84"
018,District Law Enforcement,"238,365.09"
019,District Law Enforcement,"183,760.74"
020,District Law Enforcement,"162,435.00"
022,District Law Enforcement,"174,012.17"
024,District Law Enforcement,"127,321.88"
025,District Law Enforcement,"263,436.49"
045,Gang Team Area 2,"2,387.32"
050,District Law Enforcement,"289,916.32"
051,Airport Law Enforcement - South,"73,343.37"
055,District Law Enforcement,"24,931.02"
057,Traffic Section-Detail Unit,"49,055.92"
059,Marine Unit,"32,052.76"
060,Helicopter Unit,"11,287.42"
079,Narcotics Division,"88,236.85"
102,District Law Enforcement,"11,534.25"
111,District Law Enforcement,"10,269.00"
114,Off. Deputy Chief A/2,"14,885.64"
115,Bureau of Internal Affairs,"27,159.32"
116,Deployment Operations Center,"56,586.78"
120,Narcotics Division,"5,298.36"
121,Detective Div. - Area 2,"105,676.25"
122,Finance Division,"3,385.51"
123,District Law Enforcement,"119,713.04"
124,District Law Enforcement,"239,100.69"
125,Public Safety Information Technology (PSIT),"32,710.90"
126,District Law Enforcement,"6,338.12"
127,District Law Enforcement,"19,546.48"
128,District Law Enforcement,"2,139.35"
129,District Law Enforcement,301.81
130,Bureau of Organizational Development,"2,034.14"
131,Education & Training Division,250.98
133,District Law Enforcement,"14,521.05"
134,Gang Enforcement Divison,"1,891.10"
135,Off. Deputy Chief A/l,"5,889.91"
136,District Law Enforcement,"2,982.95"
140,Office of the First Deputy Superintendent,"4,627.26"
141,Special Functions Division,"2,949.00"
142,District Law Enforcement,"18,920.39"
143,District Law Enforcement,"7,054.91"
,,
